spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
BANG,PWM,34,0.369492399,5.2,138.83,92.89,0.0175,0.199,0.0137,0,0.7101,0.1009,241.98,-1.4336,0
BANG,PWM,35,0.306857294,7.19,186.73,103.06,0.091,0.1491,-0.096,0,0.9579,0.0261,237.94,-9.1589,0
BANG,PWM,36,0.27481742,6.91,188.69,105.44,0.1278,0.1958,-0.0313,0,1.0246,0.0144,239.97,-10.9905,0
BANG,PWM,37,0.304148638,5.37,179.87,76.54,0.043,0.1547,0.0289,0,0.8938,0.0199,245.37,-10.5536,0
BANG,PWM,38,0.268686869,7,193.81,104.98,0.0719,0.1794,-0.0684,0,0.8417,0.0813,238.34,-4.2724,0
BANG,PWM,39,0.236633663,8.24,183.01,80.97,0.2936,0.2646,-0.0209,0,0.7007,0.0514,236.36,-4.6186,0
BANG,PWM,40,0.294585579,3.36,184.04,62.45,0.0035,0.1635,-0.0194,0,0.8487,0.0285,241.5,-5.0489,0
BANG,PWM,41,0.305360721,2.04,167.31,63.37,0.0077,0.1888,-0.0181,0,0.7192,0.1166,236.63,-6.0935,0
BANG,PWM,42,0.25553576,4.41,166.87,90.66,0.0214,0.212,-0.0059,0,0.7734,0.0288,245.37,-5.4394,0
BANG,PWM,43,0.372584385,4.99,177.06,83.33,0.0903,0.2065,-0.0303,0,0.8024,0.0211,240.63,-4.9846,0
BANG,PWM,44,0.296593186,4.41,166.06,77.32,0.0402,0.249,-0.0028,0,0.7211,0.0395,230.08,-6.3002,0
BANG,PWM,45,0.241741357,4.48,180.72,80.44,0.0543,0.1855,-0.0758,0,0.8444,0.0282,236.45,-6.2455,0
BANG,PWM,46,0.250452781,4.42,167.46,81.33,0.0479,0.1935,-0.0186,0,0.7605,0.0579,225.45,-4.1943,0
BANG,PWM,47,0.241247125,9.73,176.08,95.55,0.2904,0.1647,-0.1146,0,0.8483,0.0248,229.02,-8.9435,0
BANG,PWM,48,0.32160414,5.8,196.45,87.2,0.1308,0.1638,0.0155,0,0.9033,0.0052,229.57,-6.907,0
BANG,PWM,49,0.252043238,5.1,174.34,84.74,0.0889,0.1706,0.0083,0,0.9857,0.0098,231.52,-7.7315,0
BANG,PWM,50,0.276109828,10.34,185.25,103.91,0.3081,0.2482,-0.0205,0,0.9581,0.0079,226.5,-7.9178,0
BANG,PWM,51,0.262096774,8.98,169.01,83.51,0.3404,0.1651,-0.0094,0,0.7114,0.0177,229.29,-5.3107,0
BANG,PWM,52,0.25,8.77,200.17,100.52,0.2568,0.1829,0.0837,0,0.8169,0.0083,234.16,-7.6138,0
BANG,PWM,53,0.246756685,7.59,206.33,71.43,0.0744,0.174,0.3129,0.0045,0.737,0.0394,237.58,-6.229,0
BANG,PWM,54,0.28130719,13.18,21.79,135.64,0.9903,0.2229,0.012,0,0.903,0.0107,239.69,-6.5619,0
BANG,PWM,55,0.254083485,3.67,155,80.76,0.1508,0.2521,0.0336,0,0.7242,0.0379,232.16,-3.6352,0
BANG,PWM,56,0.25959596,0.24,170.97,77.04,0.0076,0.1946,-0.0605,0,0.7681,0.0473,221.25,-4.1499,0
BANG,PWM,57,0.311525684,7.55,173.92,115.63,0.3271,0.2326,-0.0722,0,0.8768,0.0521,232.23,-2.7749,0
BANG,PWM,58,0.348106158,3.53,160.46,103.77,0.0903,0.2333,-0.0248,0,0.7906,0.0315,227.48,-4.2229,0
BANG,PWM,59,0.260713369,5.57,174.65,94.45,0.2179,0.2396,-0.0543,0,0.7821,0.0692,232.63,-2.5354,0
BANG,PWM,60,0.254048583,2.62,158.51,62.07,0.0953,0.249,0.0041,0,0.8277,0.0392,228.42,-4.6486,0
CARP,CFM,1,0.304463852,0.39,164.94,92.36,0.0004,0.1201,0.1723,0.0057,0.911,0.0814,230.95,0.4968,1
CARP,CFM,2,0.251300236,0.71,158.32,94.1,0.0017,0.1676,0.0995,0.0007,1.0237,0.0517,227.5,0.1366,1
CARP,CFM,3,0.305185185,179.87,161.29,58.34,0,0.0929,0.0969,0.0003,1.0473,0.0797,231.94,-0.8214,1
CARP,CFM,4,0.297185832,0.51,170.61,84.84,0.0001,0.129,0.1403,0.0001,0.9192,0.0372,237.87,6.22,1
CARP,CFM,5,0.250912885,3.79,193.8,125.1,0.0002,0.1042,0.0343,0.0002,0.8978,0.0424,223.58,7.4929,1
CARP,NFP,1,0.302476083,176.88,150.6,103.2,0.0006,0.2763,0.1834,0.0007,0.8291,0.0956,241.02,-7.9182,1
CARP,NFP,2,0.276460382,179.31,183.14,133.04,0.0018,0.2393,0.0412,0,0.7568,0.1353,231.91,-1.6853,1
CARP,NFP,3,0.251551957,1.34,176.23,152.85,0.0122,0.1968,0.023,0,0.4378,0.1036,238.35,-0.7633,1
CARP,NFP,4,0.263417164,2.01,159.01,87.66,0.0015,0.2421,0.3932,0.01,0.7108,0.071,238.81,2.4573,1
CARP,NFP,5,0.314421553,0.48,153.4,128.64,0.0025,0.2489,0.6415,0.0233,0.5731,0.0867,234.58,-1.0862,1
CARP,NFP,6,0.400301659,179.91,155.58,117.69,0.0021,0.2782,0.0788,0,0.7225,0.0789,230.11,0.612,1
CARP,NFP,7,0.316637881,2.69,171.58,90.19,0.0071,0.2308,0.4081,0.0174,0.7831,0.0334,230.32,-1.5104,1
CARP,NFP,8,0.26691154,0.53,141.73,105.39,0.0009,0.2436,0.0784,0,0.6077,0.048,231.34,-3.6461,1
CARP,NFP,9,0.278169935,179.49,155.93,89.19,0.0023,0.3081,0.1743,0.0011,0.6889,0.0415,231.71,-1.7801,1
CARP,NFP,10,0.273261206,1.23,171.87,135.7,0.0423,0.2618,0.2782,0.0073,0.75,0.069,230.05,-1.8118,1
CARP,NFP,11,0.282903483,178.57,133.49,116.47,0,0.2794,0.434,0.0184,0.6162,0.0369,230.92,1.631,1
CARP,NFP,12,0.357447944,1.03,161.83,151.4,0.0067,0.2065,0.2854,0.0085,0.6552,0.0519,232.43,0.9267,1
CARP,NFP,13,0.380749014,1.91,150.53,115.14,0.0238,0.2973,0.2907,0.0022,0.8005,0.0898,226.62,-1.9461,1
