spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,NFP,13,0.250258531540848,0.19,163.08,67.64,0.0153,0.2124,-0.1926,0.0011,0.9368,0.1679,237.53,-1.2695,0.9,0.64,0.69,0.78,high
BANG,NFP,14,0.2830665543386689,3.08,143.31,91.72,0.1148,0.2631,0.0239,0.0,0.6651,0.0969,242.39,-4.4581,0.72,0.8,0.66,0.73,high
BANG,NFP,15,0.2783083219645293,1.25,164.13,74.7,0.0257,0.248,-0.0118,0.0,0.5995,0.1117,242.23,-4.1,0.86,0.89,0.69,0.84,high
BANG,NFP,16,0.26542121959816706,1.88,147.54,88.91,0.0899,0.3094,-0.1624,0.0,0.6087,0.1289,236.09,-4.2551,0.75,0.99,0.64,0.8,high
BANG,NFP,17,0.27037834512457704,179.31,139.7,92.43,0.0005,0.1842,0.0778,0.0001,0.701,0.1574,235.23,-0.443,0.84,0.71,0.61,0.76,high
BANG,NFP,18,0.35039952648712636,177.58,145.71,96.13,0.0653,0.2303,-0.1304,0.0,0.8069,0.1586,238.96,-0.4561,0.77,0.85,0.67,0.77,high
BANG,NFP,19,0.25321619077502355,178.55,136.85,105.89,0.0108,0.2571,-0.1367,0.0,0.8406,0.1907,239.19,-0.6752,0.79,0.83,0.72,0.79,high
BANG,NFP,20,0.25650195058517555,0.21,164.32,78.59,0.0451,0.2733,-0.1721,0.0,0.8262,0.2208,242.25,-2.8471,0.87,0.84,0.82,0.85,high
BANG,NFP,21,0.2990511172329354,177.34,150.79,85.79,0.0004,0.2108,-0.0564,0.0,0.7969,0.1722,238.33,-0.9972,0.82,0.79,0.71,0.79,high
BANG,NFP,22,0.2683014785430941,0.82,183.43,85.21,0.0316,0.2791,-0.0362,0.0017,0.7422,0.1706,242.5,-2.8293,0.91,0.63,0.82,0.81,high
BANG,NFP,23,0.4309078771695594,179.33,150.63,70.76,0.0238,0.2582,-0.03,0.0,0.7809,0.1519,241.18,-1.4497,0.83,0.78,0.71,0.79,high
BANG,NFP,24,0.28145186096585667,0.91,156.27,87.32,0.1276,0.2756,-0.1421,0.0,0.7781,0.1668,232.62,-0.381,0.79,0.87,0.59,0.77,high
BANG,NFP,25,0.2182329066500156,177.38,152.42,99.16,0.0015,0.2165,-0.0663,0.0015,0.8105,0.1672,237.86,0.8487,0.82,0.63,0.64,0.73,high
BANG,NFP,26,0.2896398069067954,179.37,167.54,113.36,0.0114,0.2503,-0.0322,0.0005,0.7928,0.1467,243.7,-3.9311,0.89,0.72,0.78,0.82,high
BANG,NFP,27,0.36625622216400316,179.08,143.0,73.02,0.0621,0.1808,0.0223,0.0,0.6946,0.1088,234.89,1.2224,0.81,0.79,0.43,0.73,high
BANG,NFP,28,0.3265255905511811,177.13,130.91,82.35,0.0005,0.1985,0.0409,0.0,0.6573,0.1144,235.71,2.2551,0.76,0.79,0.44,0.7,high
