spec,loc,num,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
CARP,NFP,27,0.08,142.82,114.91,0.0007,0.2782,0.121,0.0018,0.7299,0.0655,234.7,2.7645,0.84,0.77,0.49,0.75,high
CARP,NFP,28,1.82,130.24,118.37,0.0343,0.2021,0.2028,0,0.7425,0.0479,238.06,3.0211,0.78,0.72,0.45,0.7,mid
CARP,NFP,29,2.99,147.74,102.25,0.0932,0.2309,0.0292,0,0.9625,0.0593,230,0.2122,0.79,0.66,0.46,0.68,mid
CARP,NFP,30,2.33,139.1,128.76,0.0145,0.2376,0.0263,0,0.9766,0.0365,230.74,0.5023,0.79,0.65,0.35,0.66,mid
CARP,NFP,31,2.61,158.67,121.07,0.0739,0.2086,0.0808,0,0.9266,0.0812,232.09,2.796,0.83,0.65,0.53,0.72,high
CARP,NFP,32,1.25,170.72,111.15,0.0007,0.1549,0.0226,0,0.9765,0.0674,230.04,3.3891,0.9,0.65,0.4,0.73,high
CARP,NFP,33,0.87,126.12,88.59,0.0019,0.2248,0.0359,0,0.863,0.0759,235.56,-3.2189,0.78,0.75,0.76,0.77,high
CARP,NFP,34,1.23,139.34,81.89,0.0761,0.2548,0.0649,0,0.8657,0.0164,240.75,-1.8923,0.77,0.72,0.5,0.7,high
CARP,NFP,35,178.88,182.05,114.53,0.0002,0.2102,0.1473,0.0021,0.8142,0.0138,246.2,-0.9995,0.92,0.66,0.5,0.76,high
CARP,NFP,36,1.01,166.38,96.56,0.0057,0.2174,0.0398,0,0.8484,0.0145,239.45,0.8762,0.89,0.76,0.37,0.75,high
CARP,NFP,37,1.04,173.81,109.78,0.0002,0.1789,0.2363,0.0042,0.8997,0.0444,234.76,2.9108,0.92,0.48,0.38,0.68,mid
CARP,PWM,1,2.91,147.72,99.1,0.0426,0.2681,0.1677,0,0.8063,0.0327,229.19,2.9752,0.79,0.69,0.22,0.65,mid
CARP,PWM,2,7.18,152.59,154.93,0.1369,0.2019,0.0406,0.0002,0.9542,0.0621,233.96,4.6036,0.72,0.66,0.4,0.64,mid
CARP,PWM,3,10.03,136.45,109.87,0.3826,0.2594,0.5252,0.0223,0.7701,0.0511,234.04,0.2065,0.56,0.19,0.49,0.44,mid
CARP,PWM,4,4.9,173.32,69.85,0.0635,0.2112,0.0874,0,0.9001,0.065,231.15,2.5645,0.79,0.67,0.43,0.68,mid
CARP,PWM,5,7.44,152.83,87.52,0.1893,0.2433,0.1369,0,0.8456,0.0353,229.35,2.4553,0.68,0.68,0.25,0.59,mid
